cdatetime,address,district,beat,grid,crimedescr,ucr_ncic_code,latitude,longitude
1/18/06 10:00,204 RIVER ACRES DR,4,4C        ,1254,459 PC  BURGLARY RESIDENCE,2204,38.49605203,-121.5558323
1/18/06 10:00,8326 HOLLY JILL WAY,5,5C        ,1642,459 PC  BURGLARY RESIDENCE,2204,38.45656628,-121.435773
1/18/06 10:00,1217 RIVERA DR,2,2B        ,525,10851(A)VC TAKE VEH W/O OWNER,2404,38.62916206,-121.4378691
1/18/06 10:00,5351 47TH AVE,6,6B        ,1421,530.5 PC USE PERSONAL ID INFO,2604,38.51083839,-121.4428126
1/18/06 10:02,GINGHAMTON WAY / SANTA ANA AVE,2,2A        ,213,11357(B)HS POSS -28.5GR MARIJ,3562,38.65851633,-121.4545664
1/18/06 10:05,DIXIEANNE AVE / OAKMONT ST,2,2C        ,603,TOWED/STORED VEH-14602.6,7000,38.60931053,-121.4508063
1/18/06 10:10,6879 14TH AVE,6,6C        ,1121,GANG ACTIVITY - I RPT,7000,38.54146972,-121.4254625
1/18/06 10:15,MARYSVILLE BLVD / ROANOKE AVE,2,2A        ,516,TOWED/STORED VEH-14602.6,7000,38.63466859,-121.4301867
1/18/06 10:16,ARCADE BLVD / MARYSVILLE BLVD,2,2B        ,537,NARCOTICS SUSP/EVID/ACT- I RPT,7000,38.62541828,-121.433145
1/18/06 10:30,MARYSVILLE BLVD / MAIN AVE,2,2A        ,214,10851(A)VC TAKE VEH W/O OWNER,2404,38.65473334,-121.4409276
1/18/06 10:30,700 16TH ST,3,3A        ,725,459 PC  BURGLARY VEHICLE,2299,38.58078266,-121.4847979
1/18/06 10:38,1656 LOS ROBLES BLVD,2,2B        ,526,ELDER ABUSE/PHYS/MENTAL-I RPT,7000,38.62821323,-121.4280294
1/18/06 10:42,BIDWELL WAY / 17TH ST,4,4A        ,926,308(B) PC MINOR POSS TOBACCO,5599,38.55067586,-121.4946908
1/18/06 10:45,MARYSVILLE BLVD / ARCADE BLVD,2,2B        ,537,TOWED/STORED VEHICLE,7000,38.62541828,-121.433145
1/18/06 10:50,6879 14TH AVE,6,6C        ,1121,GANG ACTIVITY - I RPT,7000,38.54146972,-121.4254625
1/18/06 11:00,2250 68TH AVE,5,5A        ,1384,THREATS - I RPT,7000,38.48934244,-121.4859396
1/18/06 11:00,8270 BELVEDERE AVE,6,6C        ,1134,459 PC  BURGLARY BUSINESS,2203,38.53752113,-121.4005808
1/18/06 11:16,1555 WOODLAND OAKS WAY,1,1C        ,425,10851 VC AUTO THEFT LOCATE,2404,38.62078836,-121.4966965
1/18/06 11:24,8588 UNSWORTH AVE,6,6C        ,1411,10851 VC AUTO THEFT LOCATE,2404,38.52120656,-121.3867994
1/18/06 11:25,SOUTH AVE / MARYSVILLE BLVD,2,2B        ,516,TOWED/STORED VEHICLE,7000,38.63292418,-121.4305962
1/18/06 11:27,5770 FREEPORT BLVD,4,4C        ,985,1551(A) FUGITIVE FROM JUSTICE,4902,38.52199137,-121.4990149
1/18/06 11:30,3555 AUBURN BLVD,2,2A        ,509,MISSING PERSON,7000,38.63862878,-121.3815598
1/18/06 11:30,FOWLER AVE / STOCKTON BLVD,6,6C        ,1441,484G(B) PC ACCESS CARD FRAUD,2605,38.50591483,-121.4337511
1/18/06 11:32,29TH ST / P ST,3,3B        ,768,459 PC  BURGLARY VEHICLE,2299,38.56684956,-121.4707544
1/18/06 11:36,2250 JOHN STILL DR,5,5A        ,1523,JUVENILE DISURBANCE - I RPT,7000,38.4756653,-121.4866458
1/18/06 11:40,4451 GATEWAY PARK BLVD,1,1A        ,306,ASSAULT WITH WEAPON - I RPT,7000,38.65407136,-121.5048798
1/18/06 11:45,DEL PASO BLVD / ELEANOR AVE,2,2B        ,564,TOWED/STORED VEH-14602.6,7000,38.61564793,-121.4427075
1/18/06 11:47,414 K ST,3,3M        ,742,484 PETTY THEFT-SHOPLIFT,2303,38.58062786,-121.5014996
1/18/06 11:50,8588 UNSWORTH AVE,6,6C        ,1411,10851 VC AUTO THEFT LOCATE,2404,38.52120656,-121.3867994
1/18/06 11:55,WINTERHAVEN AVE / NORTHGATE BLVD,1,1C        ,419,10851 VC AUTO THEFT LOCATE,2404,38.62697168,-121.4755308
1/18/06 11:58,2989 MARYSVILLE BLVD,2,2B        ,553,TOWED/STORED VEHICLE,7000,38.62130239,-121.4365799
1/18/06 12:00,3324 41ST ST,6,6A        ,1042,10851(A)VC TAKE VEH W/O OWNER,2404,38.5440243,-121.4586686
1/18/06 12:00,FRUITRIDGE RD / HWY 99 NB,6,6A        ,1081,484 PC PETTY THEFT,2399,38.52492611,-121.4675138
1/18/06 12:00,4400 WINDSONG ST,1,1A        ,303,459 PC  BURGLARY VEHICLE,2299,38.64877851,-121.5350231
1/18/06 12:00,1600 VALLEJO WAY,4,4A        ,925,GANG ACTIVITY - I RPT,7000,38.55199422,-121.4960208
1/18/06 12:00,7427 RIO MONDEGO DR,4,4C        ,1286,459 PC  BURGLARY RESIDENCE,2204,38.48715361,-121.5223627
1/18/06 12:00,1840 50TH ST,6,6B        ,1006,594(B)(2)(A) VANDALISM/ -$400,2999,38.55651105,-121.4460999
1/18/06 12:05,MARYSVILLE BLVD / ARCADE BLVD,2,2B        ,537,TOWED/STORED VEH-14602.6,7000,38.62541828,-121.433145
1/18/06 12:10,1118 7TH ST,3,3M        ,742,242 PC  BATTERY CIVILIAN,1313,38.57966477,-121.4984909
1/18/06 12:10,1247 BLUMENFELD DR,2,2C        ,615,487(A) PC GRAND THEFT,2303,38.60459245,-121.4386646
