cdatetime,address,district,beat,grid,crimedescr,ucr_ncic_code,latitude,longitude
1/27/06 18:21,2909 K ST,3,3C        ,841,242 PC  BATTERY CIVILIAN,1313,38.57216608,-121.4672451
1/27/06 18:21,WATT AVE / AUBURN BLVD,2,          ,509,11364 HS POSS DRUG PARAPH,3599,38.63715334,-121.3829415
1/27/06 18:23,BELDEN ST / SONOMA AVE,2,2B        ,545,IMPOUNDED VEHICLE,7000,38.62379772,-121.4415307
1/27/06 18:29,18 MASSIE CT,5,5C        ,1607,11364 HS POSS DRUG PARAPH,3599,38.47521595,-121.4217163
1/27/06 18:30,1493 MAYFIELD ST,1,1A        ,136,10851(A)VC TAKE VEH W/O OWNER,2404,38.66258951,-121.4935049
1/27/06 18:30,7458 GREENHAVEN DR,4,4C        ,1286,VANDALISM - I RPT,7000,38.48651138,-121.5184681
1/27/06 18:30,P ST / 29TH ST,3,3B        ,768,NON INJ HR/MAIL OUT REPORT,7000,38.56684956,-121.4707544
1/27/06 18:45,6000 LEMON HILL AVE,6,6B        ,1421,10851 VC AUTO THEFT LOCATE,2404,38.5149777,-121.4351262
1/27/06 18:49,901 N B ST,3,3A        ,705,148(A)(1)PC RESIST PEACE OFFCR,4801,38.59214104,-121.4894043
1/27/06 18:50,8880 FRUITRIDGE RD,6,6C        ,1409,484 PETTY THEFT-SHOPLIFT,2303,38.52478964,-121.370871
1/27/06 18:55,7135 SUNDOWN DR,5,5B        ,1358,MISCELLANEOUS I RPT (ZMISC),7000,38.4967273,-121.4703481
1/27/06 19:00,7921 32ND AVE,6,6C        ,1405,10851(A)VC TAKE VEH W/O OWNER,2404,38.5242556,-121.4107732
1/27/06 19:00,3401 22ND AVE,6,6A        ,1071,10851(A)VC TAKE VEH W/O OWNER,2404,38.53297648,-121.4703448
1/27/06 19:00,7480 24TH ST,5,5A        ,1385,487(A) GRAND THEFT-CLOUT-UNLOC,2305,38.48740985,-121.4811463
1/27/06 19:00,FRUITRIDGE RD / STOCKTON BLVD,6,6B        ,1086,484 PETTY THEFT CLOUT UNLOCKED,2305,38.52497346,-121.4425904
1/27/06 19:00,7829 WHISPER WOOD WAY,5,5B        ,1621,MISSING PERSON,7000,38.47177154,-121.4484859
1/27/06 19:00,7767 LA RIVIERA DR,3,3C        ,888,459 PC  BURGLARY VEHICLE,2299,38.55549156,-121.4109174
1/27/06 19:00,902 DEL PASO BLVD,2,2C        ,612,594(B)(2)(A) VANDALISM/ -$400,2999,38.60130769,-121.4652253
1/27/06 19:29,1025 ALHAMBRA BLVD,3,3C        ,841,484 PETTY THEFT-SHOPLIFT,2303,38.57188611,-121.4648897
1/27/06 19:30,2520 SEAMIST DR,1,1B        ,444,10851(A)VC TAKE VEH W/O OWNER,2404,38.61223942,-121.4939815
1/27/06 19:30,7355 19TH ST,5,5A        ,1371,459 PC  BURGLARY RESIDENCE,2204,38.49097097,-121.4947044
1/27/06 19:35,WOODBINE AVE / 52ND AVE,4,4B        ,1346,11357(B)HS POSS -28.5GR MARIJ,3562,38.50457486,-121.4787326
1/27/06 19:40,4551 MACK RD,5,5B        ,1603,459 PC  BURGLARY BUSINESS,2203,38.47531506,-121.4487485
1/27/06 19:43,56TH ST / FRUITRIDGE RD,6,6B        ,1086,TRAFFIC-ACCIDENT-NON INJURY,5400,38.52498732,-121.4403427
1/27/06 19:45,47TH AVE / OTTO CIR,4,4B        ,1326,211 PC  ROBBERY UNSPECIFIED,1299,38.51031519,-121.4771985
1/27/06 19:54,1216 SOUTH AVE,2,2B        ,525,11357(B)HS POSS -28.5GR MARIJ,3562,38.63258514,-121.4382061
1/27/06 19:55,8755 CENTER PKWY,5,5C        ,1654,TOWED/STORED VEH-14602.6,7000,38.43891434,-121.4200444
1/27/06 20:00,6140 GLORIA DR,4,4C        ,1255,459 PC  BURGLARY VEHICLE,2299,38.51542968,-121.5193356
1/27/06 20:00,4400 TRUXEL RD,1,1A        ,307,243(E)1 BATTERY NONCOHAB SPOUS,1315,38.64727956,-121.5078403
1/27/06 20:00,7701 CANOVA WAY,5,5C        ,1605,459 PC  BURGLARY RESIDENCE,2204,38.47846862,-121.4342202
1/27/06 20:24,22ND ST / C ST,3,3B        ,717,11364 HS POSS DRUG PARAPH,3599,38.58364167,-121.4739148
1/27/06 20:30,1025 ALHAMBRA BLVD,3,3C        ,841,666 PC PETTY THEFT W/PRI CONV,2399,38.57188611,-121.4648897
1/27/06 20:30,6930 SAILBOAT WAY,4,4C        ,1264,459 PC  BURGLARY RESIDENCE,2204,38.50105448,-121.5436794
1/27/06 20:30,4211 NORWOOD AVE,2,2A        ,232,459 PC  BURGLARY BUSINESS,2203,38.64479784,-121.4581238
1/27/06 20:30,3705 SCHUTT WAY,2,2A        ,517,594(B)(2)(A) VANDALISM/ -$400,2999,38.63486324,-121.4174243
1/27/06 20:40,7650 17TH AVE,6,6C        ,1132,211 PC  ROBBERY UNSPECIFIED,1299,38.53699185,-121.4146606
1/27/06 20:53,2980 FLORIN RD,5,5A        ,1365,211 PC  ROBBERY UNSPECIFIED,1299,38.49521557,-121.4730323
1/27/06 21:00,5370 79TH ST,6,6C        ,1153,11357(B)HS POSS -28.5GR MARIJ,3562,38.52703823,-121.4120436
1/27/06 21:00,236 OLMSTEAD DR,2,2B        ,531,10851(A)VC TAKE VEH W/O OWNER,2404,38.62428352,-121.4611955
1/27/06 21:00,6235 SEYFERTH WAY,5,5C        ,1605,10851(A)VC TAKE VEH W/O OWNER,2404,38.47902907,-121.4303627
